STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-06,,,,,,,0,",S",9,",S",,,,,,,93,",S,10,",,,,,,,84.8,",,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-07,,,,,,,0,"1,S",13,"1,S",,,,,,,101,"1,S,30,",,,,,,,88.8,"1,,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-08,,,,,,,0,"1,S",7,"1,S",,,,,2.03,"5,,S,31,",97,"1,S,04,",,,12.06,"5,,,S",,,83.8,"1,,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-09,,,,,,,0,",S",2,",S",,,,,,,93,",S,28,",,,,,,,78.3,",,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-10,,,,,,,0,",S",0,",S",,,,,,,86,",S,19,",,,,,,,74.9,",,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-11,,,,,,,0,"3,S",0,"3,S",,,,,,,70,"3,S,22,",,,,,,,58.6,"3,,,S",,
CHM00058314,"HUOSHAN, CH",31.4,116.333,68,2014-12,,,,,,,0,",S",0,",S",,,,,,,69,",S,30,",,,,,,,51,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-01,,,,,,,2,",S",0,",S",,,,,,,54,",S,23,",,,,,,,42.3,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-02,,,,,,,1,",S",0,",S",,,,,,,54,",S,04,",,,,,,,45.3,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-03,,,,,,,0,",S",0,",S",,,,,,,56,",S,16,",,,,,,,47.4,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-04,,,,,,,0,",S",0,",S",,,,,,,66,",S,20,",,,,,,,55.1,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-05,,,,,,,0,",S",0,",S",,,,,,,72,",S,28,",,,,,,,61.1,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-06,,,,,,,0,",S",0,",S",,,,,,,76,",S,03,",,,,,,,66.8,",,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-07,,,,,,,0,"1,S",0,"1,S",,,,,1.11,"2,,S,26,",70,"1,S,09,",,,6.53,"2,,,S",,,62.7,"1,,,S",,
CHM00056257,"LITANG, CH",30,100.267,3950,2014-08,,,,,,,0,",S",0,",S",,,,,1.2,"4,,S,16,",70,",S,08,",,,8.86,"4,,,S",,,62.4,",,,S",,
