STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DX32,PRCP,TAVG,TMAX,TMIN
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2016-04,,14.63,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2017-03,,9.24,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2017-06,,11.74,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2018-06,,14.22,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2018-08,,10.89,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2019-02,,5.38,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2019-03,,14.92,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2019-04,,14.09,,,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2019-11,0,,,77.6,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2019-12,0,0.24,56.7,69,44.3
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,2019-08,,9.84,,,
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,2019-11,15,,,33.9,
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,2019-12,27,0.83,6.5,18.3,-5.4
CHM00058424,"ANQING, CH",30.533,117.05,20,2016-06,,23.51,,,
CHM00058424,"ANQING, CH",30.533,117.05,20,2019-02,,6.1,,,
CHM00058424,"ANQING, CH",30.533,117.05,20,2019-11,0,,,67,
CHM00058424,"ANQING, CH",30.533,117.05,20,2019-12,0,1.65,46.2,55.8,36.6
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,2017-11,,,,,1.2
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,2018-06,,2.79,,,
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,2019-11,8,,,35.5,
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,2019-12,31,0.05,6.5,21.8,-8.7
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-01,30,,,21.9,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-02,13,,,32.3,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-03,6,,,36.6,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-04,0,,,44.1,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-05,0,,,50.4,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-06,0,4.99,,56.4,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-07,0,,,59.5,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-08,0,,,59.4,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-09,0,,,52.6,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-10,1,,,47.3,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-11,2,,,38.2,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2016-12,9,,,36.3,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-01,25,,,25.1,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-02,12,,,32.7,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-03,17,,,32.4,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-04,1,,,44.3,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-05,0,,,48.8,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-06,0,,,56.6,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-07,0,5.67,,59.8,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-08,0,,,58.7,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-09,0,,,58.3,
CHM00055279,"BAINGOIN, CH",31.367,90.017,4701,2017-10,2,,,49.6,
