Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-12T09:53:06Z,67781,3056,50318,30.9756,112.2707
NA,Italy,2020-03-11T21:33:02Z,12462,827,1045,43,12
NA,Iran,2020-03-12T11:13:27Z,10075,429,2959,32,53
NA,"Korea, South",2020-03-12T05:13:02Z,7869,66,333,36,128
France,France,2020-03-11T22:53:03Z,2281,48,12,46.2276,2.2137
NA,Spain,2020-03-12T01:17:58Z,2277,55,183,40,-4
NA,Germany,2020-03-12T09:53:06Z,2078,3,25,51,9
Guangdong,China,2020-03-12T03:53:02Z,1356,8,1289,23.3417,113.4244
Henan,China,2020-03-11T08:13:09Z,1273,22,1249,33.882,113.614
Zhejiang,China,2020-03-12T01:33:02Z,1215,1,1197,29.1832,120.0934
Hunan,China,2020-03-12T09:53:06Z,1018,4,999,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-12T02:13:04Z,935,1,934,27.614,115.7221
Shandong,China,2020-03-12T07:53:02Z,760,6,734,36.3427,118.1498
NA,Norway,2020-03-12T13:13:31Z,702,0,1,60.472,8.4689
Diamond Princess,Cruise Ship,2020-03-11T22:13:12Z,696,7,325,35.4437,139.638
NA,Switzerland,2020-03-11T20:53:02Z,652,4,4,46.8182,8.2275
NA,Japan,2020-03-12T05:13:02Z,639,16,118,36,138
Jiangsu,China,2020-03-12T05:13:02Z,631,0,629,32.9711,119.455
Denmark,Denmark,2020-03-12T09:53:06Z,615,0,1,56.2639,9.5018
NA,Sweden,2020-03-12T21:39:09Z,599,1,1,63,16
Chongqing,China,2020-03-12T23:44:32Z,576,6,564,30.0572,107.874
Sichuan,China,2020-03-12T12:13:07Z,539,3,498,30.6171,102.7103
NA,Netherlands,2020-03-11T14:13:11Z,503,5,0,52.1326,5.2913
Heilongjiang,China,2020-03-12T13:13:31Z,482,13,441,47.862,127.7615
UK,United Kingdom,2020-03-11T21:33:03Z,456,8,18,55.3781,-3.436
Washington,US,2020-03-12T23:44:33Z,442,31,1,47.4009,-121.4905
Beijing,China,2020-03-12T01:13:05Z,435,8,334,40.1824,116.4142
Shanghai,China,2020-03-12T07:53:02Z,344,3,321,31.202,121.4491
New York,US,2020-03-12T21:39:10Z,328,0,0,42.1657,-74.9481
Hebei,China,2020-03-12T05:33:02Z,318,6,308,39.549,116.1306
NA,Belgium,2020-03-11T18:52:03Z,314,3,1,50.8333,4
NA,Austria,2020-03-12T11:13:29Z,302,1,4,47.5162,14.5501
Fujian,China,2020-03-11T02:18:14Z,296,1,295,26.0789,117.9874
NA,Qatar,2020-03-11T18:52:03Z,262,0,0,25.3548,51.1839
Guangxi,China,2020-03-12T00:33:06Z,252,2,241,23.8298,108.7881
Shaanxi,China,2020-03-12T01:33:02Z,245,2,232,35.1917,108.8701
California,US,2020-03-12T23:44:33Z,221,4,6,36.1162,-119.6816
NA,Bahrain,2020-03-11T22:33:03Z,195,0,35,26.0275,50.55
NA,Singapore,2020-03-11T13:53:24Z,178,0,96,1.2833,103.8333
Yunnan,China,2020-03-11T02:18:14Z,174,2,170,24.974,101.487
Hainan,China,2020-03-12T03:53:02Z,168,6,160,19.1959,109.7453
NA,Malaysia,2020-03-11T11:33:08Z,149,0,26,2.5,112.5
Guizhou,China,2020-03-12T01:13:06Z,146,2,137,26.8154,106.8748
Tianjin,China,2020-03-12T01:53:03Z,136,3,132,39.3054,117.323
Shanxi,China,2020-03-12T09:13:24Z,133,0,132,37.5777,112.2922
NA,Israel,2020-03-12T21:39:09Z,131,0,4,31,35
Hong Kong,China,2020-03-12T01:53:02Z,129,3,67,22.3,114.2
Gansu,China,2020-03-11T14:33:03Z,127,2,88,37.8099,101.0583
Liaoning,China,2020-03-12T09:53:06Z,125,1,112,41.2956,122.6085
Massachusetts,US,2020-03-12T21:39:09Z,108,0,1,42.2302,-71.5301
NA,Iceland,2020-03-12T21:39:09Z,103,0,1,64.9631,-19.0208
NA,Greece,2020-03-11T23:53:02Z,99,1,0,39.0742,21.8243
NA,Czechia,2020-03-12T01:33:03Z,94,0,0,49.8175,15.473
Jilin,China,2020-03-12T23:44:32Z,93,1,91,43.6661,126.1923
NA,Slovenia,2020-03-12T13:33:02Z,89,0,0,46.1512,14.9955
NA,United Arab Emirates,2020-03-12T21:39:09Z,85,0,17,23.4241,53.8478
NA,Kuwait,2020-03-12T09:13:24Z,80,0,5,29.5,47.75
Xinjiang,China,2020-03-11T02:18:14Z,76,3,73,41.1129,85.2401
Inner Mongolia,China,2020-03-11T03:53:03Z,75,1,71,44.0935,113.9448
Ningxia,China,2020-03-11T09:33:12Z,75,0,72,37.2692,106.1655
NA,India,2020-03-12T08:33:13Z,73,1,4,21,78
NA,Iraq,2020-03-12T08:33:13Z,71,8,15,33,44
NA,Thailand,2020-03-12T08:53:02Z,70,1,34,15.87,100.9925
NA,San Marino,2020-03-12T08:53:02Z,69,3,0,43.9424,12.4578
NA,Egypt,2020-03-12T08:53:02Z,67,1,27,26,30
