Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-08T14:43:03Z,67707,2986,45235,30.9756,112.2707
NA,Italy,2020-03-08T18:03:04Z,7375,366,622,43,12
NA,South Korea,2020-03-08T12:53:03Z,7314,50,118,36,128
NA,Iran,2020-03-08T11:03:30Z,6566,194,2134,32,53
Guangdong,Mainland China,2020-03-08T14:43:03Z,1352,7,1256,23.3417,113.4244
Henan,Mainland China,2020-03-08T05:03:02Z,1272,22,1247,33.882,113.614
Zhejiang,Mainland China,2020-03-08T09:03:04Z,1215,1,1161,29.1832,120.0934
NA,France,2020-03-08T18:03:04Z,1126,19,12,47,2
NA,Germany,2020-03-08T21:03:03Z,1040,0,18,51,9
Hunan,Mainland China,2020-03-08T12:53:03Z,1018,4,968,27.6104,111.7088
Anhui,Mainland China,2020-03-08T05:13:06Z,990,6,984,31.8257,117.2264
Jiangxi,Mainland China,2020-03-08T06:53:04Z,935,1,919,27.614,115.7221
Shandong,Mainland China,2020-03-08T10:03:11Z,758,6,642,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39Z,696,6,40,35.4437,139.638
NA,Spain,2020-03-08T20:33:02Z,673,17,30,40,-4
Jiangsu,Mainland China,2020-03-08T09:23:05Z,631,0,612,32.9711,119.455
Chongqing,Mainland China,2020-03-08T23:23:03Z,576,6,527,30.0572,107.874
Sichuan,Mainland China,2020-03-08T12:53:03Z,539,3,464,30.6171,102.7103
NA,Japan,2020-03-08T14:53:11Z,502,6,76,36,138
Heilongjiang,Mainland China,2020-03-08T14:43:03Z,481,13,412,47.862,127.7615
Beijing,Mainland China,2020-03-08T01:23:07Z,428,8,308,40.1824,116.4142
Shanghai,Mainland China,2020-03-08T04:33:02Z,342,3,314,31.202,121.4491
NA,Switzerland,2020-03-08T17:23:07Z,337,2,3,46.8182,8.2275
Hebei,Mainland China,2020-03-07T13:03:05Z,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-07T13:03:05Z,296,1,295,26.0789,117.9874
NA,UK,2020-03-08T22:03:10Z,273,3,18,55,-3
NA,Netherlands,2020-03-08T13:43:02Z,265,3,0,52.1326,5.2913
Guangxi,Mainland China,2020-03-08T00:23:02Z,252,2,223,23.8298,108.7881
Shaanxi,Mainland China,2020-03-08T14:43:03Z,245,1,227,35.1917,108.8701
NA,Sweden,2020-03-08T14:03:12Z,203,0,0,63,16
NA,Belgium,2020-03-08T17:23:07Z,200,0,1,50.8333,4
NA,Norway,2020-03-08T21:03:03Z,176,0,0,60.472,8.4689
Yunnan,Mainland China,2020-03-06T03:23:06Z,174,2,170,24.974,101.487
Hainan,Mainland China,2020-03-08T04:33:02Z,168,6,159,19.1959,109.7453
NA,Singapore,2020-03-08T13:33:13Z,150,0,78,1.2833,103.8333
Guizhou,Mainland China,2020-03-08T01:13:11Z,146,2,117,26.8154,106.8748
Tianjin,Mainland China,2020-03-05T03:33:27Z,136,3,128,39.3054,117.323
Shanxi,Mainland China,2020-03-05T14:53:03Z,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-08T05:13:06Z,125,1,109,41.2956,122.6085
Gansu,Mainland China,2020-03-08T14:33:06Z,124,2,87,36.0611,103.8343
Hong Kong,Hong Kong,2020-03-08T14:43:03Z,114,3,58,22.3,114.2
NA,Austria,2020-03-08T09:13:14Z,104,0,0,47.5162,14.5501
NA,Malaysia,2020-03-08T14:43:03Z,99,0,24,2.5,112.5
Jilin,Mainland China,2020-03-06T10:23:03Z,93,1,90,43.6661,126.1923
NA,Bahrain,2020-03-07T18:13:26Z,85,0,4,26.0275,50.55
"King County, WA",US,2020-03-08T20:23:09Z,83,17,1,47.548,-121.9836
"Westchester County, NY",US,2020-03-08T18:03:07Z,83,0,0,41.122,-73.7949
Xinjiang,Mainland China,2020-03-08T05:33:02Z,76,3,73,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-08T05:13:06Z,75,1,70,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T12:53:03Z,75,0,71,37.2692,106.1655
NA,Greece,2020-03-08T17:23:07Z,73,0,0,39.0742,21.8243
NA,Kuwait,2020-03-08T15:33:04Z,64,0,1,29.5,47.75
NA,Iraq,2020-03-08T21:03:03Z,60,6,0,33,44
NA,Iceland,2020-03-07T18:13:27Z,50,0,0,64.9631,-19.0208
NA,Thailand,2020-03-07T10:13:23Z,50,1,31,15,101
NA,Egypt,2020-03-08T19:03:11Z,49,1,1,26,30
Taiwan,Taiwan,2020-03-08T03:13:13Z,45,1,13,23.7,121
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03Z,45,0,0,35.4437,139.638
NA,United Arab Emirates,2020-03-07T10:13:22Z,45,0,7,24,54
NA,India,2020-03-08T09:23:05Z,39,0,3,21,78
NA,Israel,2020-03-08T21:03:03Z,39,0,2,31,35
New South Wales,Australia,2020-03-08T05:13:07Z,38,3,4,-33.8688,151.2093
"Santa Clara County, CA",US,2020-03-08T21:23:03Z,38,0,1,37.3541,-121.9552
NA,San Marino,2020-03-08T14:23:10Z,36,1,0,43.9424,12.4578
NA,Denmark,2020-03-08T14:53:11Z,35,0,1,56.2639,9.5018
NA,Lebanon,2020-03-08T18:13:19Z,32,0,1,33.8547,35.8623
NA,Czech Republic,2020-03-08T19:53:03Z,31,0,0,49.8175,15.473
"Snohomish County, WA",US,2020-03-08T21:43:03Z,31,1,0,48.033,-121.8339
NA,Portugal,2020-03-08T19:53:03Z,30,0,0,39.3999,-8.2245
NA,Vietnam,2020-03-08T19:53:03Z,30,0,16,16,108
"Toronto, ON",Canada,2020-03-08T21:33:02Z,28,0,3,43.6532,-79.3832
British Columbia,Canada,2020-03-08T05:13:07Z,27,0,4,49.2827,-123.1207
NA,Finland,2020-03-08T10:03:13Z,23,0,1,64,26
NA,Palestine,2020-03-07T02:23:06Z,22,0,0,31.9522,35.2332
NA,Republic of Ireland,2020-03-08T21:03:03Z,21,0,0,53.1424,-7.6921
Grand Princess Cruise Ship,US,2020-03-07T01:33:02Z,21,0,0,37.6489,-122.6655
NA,Brazil,2020-03-08T17:23:07Z,20,0,0,-14.235,-51.9253
NA,Algeria,2020-03-08T05:23:03Z,19,0,0,28.0339,1.6596
NA,Ireland,2020-03-08T21:03:03Z,19,0,0,53.4167,-8
Qinghai,Mainland China,2020-02-21T04:43:02Z,18,0,18,35.7452,95.9956
NA,Russia,2020-03-08T21:03:03Z,17,0,3,60,90
NA,Oman,2020-03-05T17:53:02Z,16,0,2,21,57
NA,Slovenia,2020-03-08T17:03:16Z,16,0,0,46.1512,14.9955
Queensland,Australia,2020-03-08T05:43:04Z,15,0,8,-28.0167,153.4
NA,Qatar,2020-03-08T17:03:16Z,15,0,0,25.3548,51.1839
NA,Romania,2020-03-08T17:23:07Z,15,0,3,46,25
NA,Ecuador,2020-03-08T05:23:03Z,14,0,0,-1.8312,-78.1834
"Los Angeles, CA",US,2020-03-08T01:13:48Z,14,0,0,34.0522,-118.2437
NA,Georgia,2020-03-08T05:23:03Z,13,0,0,42.3154,43.3569
NA,Argentina,2020-03-08T22:03:11Z,12,1,0,-38.4161,-63.6167
NA,Croatia,2020-03-07T10:13:23Z,12,0,0,45.1667,15.5
