Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
NA,Indonesia,2020-03-09T11:33:10Z,19,0,0,-0.7893,113.9213
"New York County, NY",US,2020-03-09T17:13:16Z,19,0,0,40.7128,-74.006
Qinghai,Mainland China,2020-02-21T04:43:02Z,18,0,18,35.7452,95.9956
NA,Qatar,2020-03-09T10:13:09Z,18,0,0,25.3548,51.1839
NA,Russia,2020-03-08T21:03:03Z,17,0,3,60,90
"Nassau County, NY",US,2020-03-09T17:13:14Z,17,0,0,40.6546,-73.5594
NA,Oman,2020-03-05T17:53:02Z,16,0,2,21,57
NA,Poland,2020-03-09T11:33:10Z,16,0,0,51.9194,19.1451
NA,Slovenia,2020-03-08T17:03:16Z,16,0,0,46.1512,14.9955
Queensland,Australia,2020-03-08T05:43:04Z,15,0,8,-28.0167,153.4
Victoria,Australia,2020-03-09T18:33:03Z,15,0,7,-37.8136,144.9631
NA,Ecuador,2020-03-09T09:03:03Z,15,0,0,-1.8312,-78.1834
NA,Georgia,2020-03-09T10:13:06Z,15,0,0,42.3154,43.3569
NA,Romania,2020-03-08T17:23:07Z,15,0,3,46,25
NA,Saudi Arabia,2020-03-09T09:03:03Z,15,0,0,24,45
"Los Angeles, CA",US,2020-03-08T01:13:48Z,14,0,0,34.0522,-118.2437
NA,Argentina,2020-03-08T22:03:11Z,12,1,0,-38.4161,-63.6167
NA,Croatia,2020-03-07T10:13:23Z,12,0,0,45.1667,15.5
"Contra Costa County, CA",US,2020-03-08T21:43:03Z,12,0,0,37.8534,-121.9018
NA,Estonia,2020-03-06T13:03:13Z,10,0,0,58.5953,25.0136
Macau,Macau,2020-03-06T10:23:03Z,10,0,10,22.1667,113.55
NA,Azerbaijan,2020-03-07T02:13:09Z,9,0,0,40.1431,47.5769
NA,Costa Rica,2020-03-09T09:03:03Z,9,0,0,9.7489,-83.7534
NA,Hungary,2020-03-09T09:43:03Z,9,0,0,47.1625,19.5033
"San Francisco County, CA",US,2020-03-08T01:23:12Z,9,0,0,37.7749,-122.4194
NA,Chile,2020-03-08T15:43:03Z,8,0,0,-35.6751,-71.543
"Suffolk County, MA",US,2020-03-08T21:13:14Z,8,0,1,42.3601,-71.0589
"Washington County, OR",US,2020-03-08T19:43:03Z,8,0,0,45.547,-123.1386
South Australia,Australia,2020-03-06T04:23:08Z,7,0,2,-34.9285,138.6007
Alberta,Canada,2020-03-09T17:53:24Z,7,0,0,53.9333,-116.5765
NA,Mexico,2020-03-08T05:13:06Z,7,0,1,23,-102
NA,Peru,2020-03-09T10:13:23Z,7,0,0,-9.19,-75.0152
"Cook County, IL",US,2020-03-08T20:23:09Z,7,0,2,41.7377,-87.6976
"Middlesex County, MA",US,2020-03-08T21:13:12Z,7,0,0,42.4672,-71.2874
"Placer County, CA",US,2020-03-09T08:23:03Z,7,1,0,39.0916,-120.8039
NA,Belarus,2020-03-09T11:33:10Z,6,0,1,53.7098,27.9534
NA,Latvia,2020-03-09T09:13:18Z,6,0,0,56.8796,24.6032
NA,Pakistan,2020-03-08T04:53:02Z,6,0,1,30.3753,69.3451
