Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-03T11:43:02Z,67217,2835,36208,30.9756,112.2707
NA,South Korea,2020-03-03T09:43:02Z,5186,28,30,36,128
NA,Italy,2020-03-03T20:03:06Z,2502,79,160,43,12
NA,Iran,2020-03-03T14:23:03Z,2336,77,291,32,53
Guangdong,Mainland China,2020-03-03T10:23:10Z,1350,7,1101,23.3417,113.4244
Henan,Mainland China,2020-03-03T09:43:02Z,1272,22,1231,33.882,113.614
Zhejiang,Mainland China,2020-03-03T12:33:02Z,1213,1,1093,29.1832,120.0934
Hunan,Mainland China,2020-03-03T13:03:04Z,1018,4,906,27.6104,111.7088
Anhui,Mainland China,2020-03-03T14:33:03Z,990,6,936,31.8257,117.2264
Jiangxi,Mainland China,2020-03-03T02:03:11Z,935,1,870,27.614,115.7221
Shandong,Mainland China,2020-03-03T07:53:03Z,758,6,511,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06Z,706,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-03T11:03:09Z,631,0,562,32.9711,119.455
Chongqing,Mainland China,2020-03-03T23:13:05Z,576,6,490,30.0572,107.874
Sichuan,Mainland China,2020-03-03T09:33:02Z,538,3,394,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-03T13:03:04Z,480,13,366,47.862,127.7615
Beijing,Mainland China,2020-03-03T02:03:11Z,414,8,288,40.1824,116.4142
Shanghai,Mainland China,2020-03-03T03:43:02Z,338,3,294,31.202,121.4491
Hebei,Mainland China,2020-03-03T09:33:02Z,318,6,300,38.0428,114.5149
Fujian,Mainland China,2020-03-03T13:43:03Z,296,1,260,26.0789,117.9874
NA,Japan,2020-03-03T20:03:06Z,293,6,43,36,138
Guangxi,Mainland China,2020-03-03T00:23:14Z,252,2,202,23.8298,108.7881
Shaanxi,Mainland China,2020-03-02T08:03:12Z,245,1,216,35.1917,108.8701
NA,France,2020-03-03T15:23:03Z,204,4,12,47,2
NA,Germany,2020-03-03T20:03:06Z,196,0,16,51,9
Yunnan,Mainland China,2020-03-03T03:43:02Z,174,2,169,24.974,101.487
Hainan,Mainland China,2020-03-03T23:43:02Z,168,5,155,19.1959,109.7453
NA,Spain,2020-03-03T23:53:03Z,165,1,2,40,-4
Guizhou,Mainland China,2020-03-02T01:13:06Z,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-03T11:43:02Z,136,3,124,39.3054,117.323
Shanxi,Mainland China,2020-03-03T23:13:05Z,133,0,124,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T14:33:03Z,125,1,106,41.2956,122.6085
NA,Singapore,2020-03-03T15:23:03Z,110,0,78,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-03T11:53:01Z,100,2,37,22.3,114.2
Jilin,Mainland China,2020-03-02T15:03:23Z,93,1,83,43.6661,126.1923
Gansu,Mainland China,2020-03-03T13:43:03Z,91,2,86,36.0611,103.8343
Xinjiang,Mainland China,2020-03-03T07:33:03Z,76,3,68,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-03T09:23:02Z,75,1,59,44.0935,113.9448
Ningxia,Mainland China,2020-03-02T01:33:02Z,74,0,69,37.2692,106.1655
NA,Kuwait,2020-03-02T20:33:02Z,56,0,0,29.5,47.75
NA,Switzerland,2020-03-03T16:43:02Z,56,0,2,46.8182,8.2275
NA,UK,2020-03-03T15:13:26Z,51,0,8,55,-3
NA,Bahrain,2020-03-02T20:33:02Z,49,0,0,26.0275,50.55
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03Z,45,0,0,35.4437,139.638
NA,Thailand,2020-03-02T06:23:04Z,43,1,31,15,101
Taiwan,Taiwan,2020-03-03T06:43:02Z,42,1,12,23.7,121
NA,Malaysia,2020-03-03T12:33:02Z,36,0,22,2.5,112.5
NA,Iraq,2020-03-03T20:03:06Z,32,0,0,33,44
NA,Norway,2020-03-03T14:33:03Z,32,0,0,60.472,8.4689
NA,United Arab Emirates,2020-03-03T23:43:02Z,27,0,5,24,54
NA,Netherlands,2020-03-03T15:13:26Z,24,0,0,52.1326,5.2913
NA,Austria,2020-03-03T15:13:26Z,21,0,0,47.5162,14.5501
NA,Sweden,2020-03-03T15:13:26Z,21,0,0,63,16
"King County, WA",US,2020-03-03T20:23:05Z,21,6,1,47.548,-121.9836
"Toronto, ON",Canada,2020-03-03T20:03:08Z,19,0,2,43.6532,-79.3832
Qinghai,Mainland China,2020-02-21T04:43:02Z,18,0,18,35.7452,95.9956
NA,Vietnam,2020-02-25T08:53:02Z,16,0,16,16,108
