Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-04T12:53:03Z,67332,2871,38557,30.9756,112.2707
NA,South Korea,2020-03-04T19:23:03Z,5621,35,41,36,128
NA,Italy,2020-03-04T19:23:03Z,3089,107,276,43,12
NA,Iran,2020-03-04T12:33:03Z,2922,92,552,32,53
Guangdong,Mainland China,2020-03-04T10:03:19Z,1350,7,1133,23.3417,113.4244
Henan,Mainland China,2020-03-04T00:33:05Z,1272,22,1234,33.882,113.614
Zhejiang,Mainland China,2020-03-04T10:03:19Z,1213,1,1114,29.1832,120.0934
Hunan,Mainland China,2020-03-04T15:43:02Z,1018,4,916,27.6104,111.7088
Anhui,Mainland China,2020-03-04T10:03:19Z,990,6,956,31.8257,117.2264
Jiangxi,Mainland China,2020-03-04T01:33:07Z,935,1,884,27.614,115.7221
Shandong,Mainland China,2020-03-04T12:53:03Z,758,6,516,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06Z,706,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-04T12:53:03Z,631,0,577,32.9711,119.455
Chongqing,Mainland China,2020-03-04T23:23:01Z,576,6,502,30.0572,107.874
Sichuan,Mainland China,2020-03-04T12:53:03Z,538,3,406,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-04T12:53:03Z,480,13,373,47.862,127.7615
Beijing,Mainland China,2020-03-04T23:23:01Z,418,8,297,40.1824,116.4142
Shanghai,Mainland China,2020-03-04T04:13:08Z,338,3,298,31.202,121.4491
NA,Japan,2020-03-04T19:23:03Z,331,6,43,36,138
Hebei,Mainland China,2020-03-04T10:03:19Z,318,6,301,38.0428,114.5149
Fujian,Mainland China,2020-03-04T12:53:03Z,296,1,270,26.0789,117.9874
NA,France,2020-03-04T20:43:02Z,285,4,12,47,2
NA,Germany,2020-03-04T19:33:03Z,262,0,16,51,9
Guangxi,Mainland China,2020-03-04T00:13:08Z,252,2,210,23.8298,108.7881
Shaanxi,Mainland China,2020-03-04T15:43:03Z,245,1,223,35.1917,108.8701
NA,Spain,2020-03-04T20:43:02Z,222,2,2,40,-4
Yunnan,Mainland China,2020-03-03T03:43:02Z,174,2,169,24.974,101.487
Hainan,Mainland China,2020-03-04T10:03:19Z,168,5,158,19.1959,109.7453
Guizhou,Mainland China,2020-03-02T01:13:06Z,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-03T11:43:02Z,136,3,124,39.3054,117.323
Shanxi,Mainland China,2020-03-03T23:13:05Z,133,0,124,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T14:33:03Z,125,1,106,41.2956,122.6085
NA,Singapore,2020-03-03T15:23:03Z,110,0,78,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-04T23:23:01Z,105,2,37,22.3,114.2
Jilin,Mainland China,2020-03-04T10:03:19Z,93,1,86,43.6661,126.1923
Gansu,Mainland China,2020-03-04T15:43:03Z,91,2,87,36.0611,103.8343
NA,Switzerland,2020-03-04T19:33:03Z,90,0,3,46.8182,8.2275
NA,UK,2020-03-04T19:33:03Z,85,0,8,55,-3
Xinjiang,Mainland China,2020-03-04T15:43:03Z,76,3,69,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-04T15:43:03Z,75,1,63,44.0935,113.9448
Ningxia,Mainland China,2020-03-04T01:33:07Z,75,0,69,37.2692,106.1655
NA,Kuwait,2020-03-02T20:33:02Z,56,0,0,29.5,47.75
NA,Norway,2020-03-04T19:33:03Z,56,0,0,60.472,8.4689
NA,Bahrain,2020-03-04T19:33:03Z,52,0,0,26.0275,50.55
NA,Malaysia,2020-03-04T13:03:08Z,50,0,22,2.5,112.5
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03Z,45,0,0,35.4437,139.638
NA,Thailand,2020-03-02T06:23:04Z,43,1,31,15,101
Taiwan,Taiwan,2020-03-03T06:43:02Z,42,1,12,23.7,121
NA,Netherlands,2020-03-04T12:33:03Z,38,0,0,52.1326,5.2913
NA,Iraq,2020-03-04T20:43:02Z,35,2,0,33,44
NA,Sweden,2020-03-04T12:33:03Z,35,0,0,63,16
"King County, WA",US,2020-03-04T19:53:02Z,31,9,1,47.548,-121.9836
NA,Austria,2020-03-04T19:33:03Z,29,0,0,47.5162,14.5501
NA,India,2020-03-04T12:33:03Z,28,0,3,21,78
NA,United Arab Emirates,2020-03-03T23:43:02Z,27,0,5,24,54
NA,Iceland,2020-03-04T19:33:03Z,26,0,0,64.9631,-19.0208
NA,Belgium,2020-03-04T12:33:03Z,23,0,1,50.8333,4
New South Wales,Australia,2020-03-04T20:43:03Z,22,1,4,-33.8688,151.2093
"Toronto, ON",Canada,2020-03-03T20:03:08Z,19,0,2,43.6532,-79.3832
Qinghai,Mainland China,2020-02-21T04:43:02Z,18,0,18,35.7452,95.9956
