Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2/13/20 0:03,48206,1310,3441
Guangdong,Mainland China,2/13/20 2:13,1241,2,284
Henan,Mainland China,2/13/20 0:33,1169,10,258
Zhejiang,Mainland China,2/13/20 1:23,1145,0,327
Hunan,Mainland China,2/13/20 1:33,968,2,312
Anhui,Mainland China,2/13/20 1:03,910,5,128
Jiangxi,Mainland China,2/13/20 1:13,872,1,170
Jiangsu,Mainland China,2/13/20 0:53,570,0,131
Chongqing,Mainland China,2/12/20 23:13,518,3,102
Shandong,Mainland China,2/13/20 1:13,506,2,98
Sichuan,Mainland China,2/13/20 0:33,451,1,93
Heilongjiang,Mainland China,2/13/20 0:13,395,9,31
Beijing,Mainland China,2/13/20 2:33,366,3,68
Shanghai,Mainland China,2/13/20 0:13,313,1,57
Fujian,Mainland China,2/13/20 0:43,279,0,54
Hebei,Mainland China,2/13/20 1:53,265,3,55
Shaanxi,Mainland China,2/13/20 2:13,229,0,42
Guangxi,Mainland China,2/13/20 0:23,222,2,33
Diamond Princess cruise ship,Others,2/12/20 4:23,175,0,0
Hainan,Mainland China,2/12/20 17:03,157,4,27
Yunnan,Mainland China,2/13/20 2:53,155,0,23
Guizhou,Mainland China,2/13/20 1:13,135,1,20
Shanxi,Mainland China,2/12/20 23:03,126,0,33
Liaoning,Mainland China,2/13/20 2:23,116,1,21
Tianjin,Mainland China,2/13/20 2:43,113,2,11
Gansu,Mainland China,2/12/20 23:23,87,2,31
Jilin,Mainland China,2/13/20 0:23,84,1,22
Ningxia,Mainland China,2/13/20 1:23,64,0,24
Xinjiang,Mainland China,2/13/20 1:23,63,1,3
Inner Mongolia,Mainland China,2/13/20 1:23,61,0,6
Hong Kong,Hong Kong,2/12/20 9:53,50,1,1
,Singapore,2/12/20 19:53,50,0,15
,Thailand,2/11/20 18:43,33,0,10
,Japan,2/12/20 2:43,28,0,9
,South Korea,2/12/20 14:43,28,0,7
Qinghai,Mainland China,2/12/20 8:03,18,0,9
,Malaysia,2/11/20 3:13,18,0,3
Taiwan,Taiwan,2/9/20 9:13,18,0,1
,Germany,2/11/20 19:33,16,0,0
,Vietnam,2/11/20 16:43,15,0,6
,France,2/12/20 18:53,11,0,2
Macau,Macau,2/12/20 9:53,10,0,2
,UK,2/12/20 19:03,9,0,1
,United Arab Emirates,2/12/20 0:33,8,0,1
Queensland,Australia,2/9/20 19:33,5,0,0
New South Wales,Australia,2/6/20 3:13,4,0,2
Victoria,Australia,2/1/20 18:12,4,0,0
British Columbia,Canada,2/7/20 5:43,4,0,0
,India,2/3/20 21:43,3,0,0
,Italy,2/7/20 17:53,3,0,0
,Philippines,2/12/20 7:43,3,1,1
South Australia,Australia,2/2/20 22:33,2,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,0,0
,Russia,2/12/20 14:43,2,0,2
,Spain,2/9/20 20:33,2,0,0
"Chicago, IL",US,2/9/20 19:03,2,0,2
"San Benito, CA",US,2/3/20 3:53,2,0,0
"Santa Clara, CA",US,2/3/20 0:43,2,0,0
,Belgium,2/4/20 15:43,1,0,0
,Cambodia,2/12/20 7:43,1,0,1
"London, ON",Canada,2/12/20 18:53,1,0,1
,Finland,2/12/20 0:03,1,0,1
Tibet,Mainland China,2/12/20 6:43,1,0,1
,Nepal,2/12/20 14:43,1,0,1
,Sri Lanka,2/8/20 3:43,1,0,1
,Sweden,2/1/20 2:13,1,0,0
"Boston, MA",US,2/1/20 19:43,1,0,0
"Los Angeles, CA",US,2/1/20 19:53,1,0,0
"Madison, WI",US,2/5/20 21:53,1,0,0
"Orange, CA",US,2/1/20 19:53,1,0,0
"San Diego County, CA",US,2/11/20 1:23,1,0,0
"Seattle, WA",US,2/9/20 7:03,1,0,1
"Tempe, AZ",US,2/1/20 19:43,1,0,0
