Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-16T14:38:45Z,67798,3099,55142,30.9756,112.2707
NA,Italy,2020-03-16T17:33:03Z,27980,2158,2749,41.8719,12.5674
NA,Iran,2020-03-16T14:38:45Z,14991,853,4590,32.4279,53.688
NA,Spain,2020-03-16T20:13:11Z,9942,342,530,40.4637,-3.7492
NA,"Korea, South",2020-03-16T14:38:45Z,8236,75,1137,35.9078,127.7669
NA,Germany,2020-03-16T20:13:11Z,7272,17,67,51.1657,10.4515
France,France,2020-03-16T20:13:11Z,6633,148,12,46.2276,2.2137
NA,Switzerland,2020-03-15T18:20:18Z,2200,14,4,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-16T19:13:13Z,1543,55,20,55.3781,-3.436
Netherlands,Netherlands,2020-03-16T14:38:46Z,1413,24,2,52.1326,5.2913
Guangdong,China,2020-03-16T01:53:03Z,1361,8,1306,23.3417,113.4244
NA,Norway,2020-03-16T21:13:12Z,1333,3,1,60.472,8.4689
Henan,China,2020-03-14T09:53:08Z,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-16T14:38:45Z,1231,1,1216,29.1832,120.0934
NA,Sweden,2020-03-16T14:38:45Z,1103,6,1,60.1282,18.6435
NA,Belgium,2020-03-16T14:38:45Z,1058,5,1,50.5039,4.4699
NA,Austria,2020-03-16T15:13:09Z,1018,3,6,47.5162,14.5501
Hunan,China,2020-03-14T08:33:03Z,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
New York,US,2020-03-16T21:53:03Z,967,10,0,42.1657,-74.9481
Jiangxi,China,2020-03-12T02:13:04Z,935,1,934,27.614,115.7221
Denmark,Denmark,2020-03-16T18:33:03Z,914,3,1,56.2639,9.5018
Washington,US,2020-03-16T23:53:03Z,904,48,1,47.4009,-121.4905
NA,Japan,2020-03-16T14:38:45Z,825,27,144,36.2048,138.2529
Shandong,China,2020-03-16T14:38:45Z,760,7,746,36.3427,118.1498
Diamond Princess,Cruise Ship,2020-03-13T14:13:25Z,696,7,325,35.4498,139.6649
Jiangsu,China,2020-03-15T01:53:02Z,631,0,631,32.9711,119.455
Chongqing,China,2020-03-15T03:53:04Z,576,6,570,30.0572,107.874
NA,Malaysia,2020-03-16T14:38:45Z,566,0,42,4.2105,101.9758
California,US,2020-03-16T23:53:03Z,557,7,6,36.1162,-119.6816
