Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-17T11:53:10Z,67799,3111,56003,30.9756,112.2707
NA,Italy,2020-03-17T18:33:02Z,31506,2503,2941,41.8719,12.5674
NA,Iran,2020-03-17T15:13:09Z,16169,988,5389,32.4279,53.688
NA,Spain,2020-03-17T20:53:02Z,11748,533,1028,40.4637,-3.7492
NA,Germany,2020-03-17T18:53:02Z,9257,24,67,51.1657,10.4515
NA,"Korea, South",2020-03-17T10:33:03Z,8320,81,1407,35.9078,127.7669
France,France,2020-03-17T19:13:08Z,7652,148,12,46.2276,2.2137
NA,Switzerland,2020-03-17T16:33:04Z,2700,27,4,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-17T15:13:09Z,1950,55,52,55.3781,-3.436
New York,US,2020-03-17T22:53:03Z,1706,13,0,42.1657,-74.9481
Netherlands,Netherlands,2020-03-17T15:13:11Z,1705,43,2,52.1326,5.2913
NA,Norway,2020-03-17T19:53:02Z,1463,3,1,60.472,8.4689
Guangdong,China,2020-03-17T01:53:03Z,1364,8,1307,23.3417,113.4244
NA,Austria,2020-03-17T15:33:06Z,1332,3,1,47.5162,14.5501
Henan,China,2020-03-14T09:53:08Z,1273,22,1250,33.882,113.614
NA,Belgium,2020-03-17T15:33:06Z,1243,10,1,50.5039,4.4699
Zhejiang,China,2020-03-17T02:13:21Z,1232,1,1216,29.1832,120.0934
NA,Sweden,2020-03-17T15:33:06Z,1190,7,1,60.1282,18.6435
Washington,US,2020-03-17T23:33:03Z,1076,55,1,47.4009,-121.4905
Hunan,China,2020-03-14T08:33:03Z,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
Denmark,Denmark,2020-03-17T16:33:04Z,977,4,1,56.2639,9.5018
Jiangxi,China,2020-03-12T02:13:04Z,935,1,934,27.614,115.7221
NA,Japan,2020-03-17T16:53:04Z,878,29,144,36.2048,138.2529
Shandong,China,2020-03-17T00:33:02Z,761,7,746,36.3427,118.1498
California,US,2020-03-17T22:53:03Z,698,12,6,36.1162,-119.6816
Diamond Princess,Cruise Ship,2020-03-13T14:13:25Z,696,7,325,35.4498,139.6649
NA,Malaysia,2020-03-17T15:33:06Z,673,2,49,4.2105,101.9758
Jiangsu,China,2020-03-15T01:53:02Z,631,0,631,32.9711,119.455
Chongqing,China,2020-03-15T03:53:04Z,576,6,570,30.0572,107.874
Sichuan,China,2020-03-17T08:33:02Z,540,3,520,30.6171,102.7103
Heilongjiang,China,2020-03-17T01:33:02Z,482,13,456,47.862,127.7615
Beijing,China,2020-03-17T10:53:03Z,456,8,369,40.1824,116.4142
NA,Portugal,2020-03-17T15:33:06Z,448,1,3,39.3999,-8.2245
NA,Qatar,2020-03-16T15:13:09Z,439,0,4,25.3548,51.1839
NA,Czechia,2020-03-17T15:33:06Z,396,0,3,49.8175,15.473
NA,Greece,2020-03-17T16:33:04Z,387,5,8,39.0742,21.8243
Shanghai,China,2020-03-17T02:13:20Z,358,3,325,31.202,121.4491
NA,Israel,2020-03-17T20:53:02Z,337,0,11,31.0461,34.8516
NA,Brazil,2020-03-17T15:33:06Z,321,1,2,-14.235,-51.9253
NA,Finland,2020-03-17T12:33:06Z,321,0,10,61.9241,25.7482
Hebei,China,2020-03-13T11:09:03Z,318,6,310,38.0428,114.5149
Fujian,China,2020-03-11T02:18:14Z,296,1,295,26.0789,117.9874
NA,Slovenia,2020-03-17T16:53:04Z,275,1,0,46.1512,14.9955
New Jersey,US,2020-03-17T20:13:22Z,267,3,1,40.2989,-74.521
NA,Singapore,2020-03-17T15:33:06Z,266,0,114,1.3521,103.8198
Guangxi,China,2020-03-17T00:33:02Z,253,2,248,23.8298,108.7881
Shaanxi,China,2020-03-17T10:53:03Z,246,3,236,35.1917,108.8701
NA,Poland,2020-03-17T20:53:02Z,238,5,13,51.9194,19.1451
NA,Pakistan,2020-03-17T15:33:06Z,236,0,2,30.3753,69.3451
NA,Bahrain,2020-03-17T03:13:15Z,228,1,81,26.0667,50.5577
NA,Estonia,2020-03-17T10:33:03Z,225,0,1,58.5953,25.0136
NA,Ireland,2020-03-17T02:53:03Z,223,2,5,53.1424,-7.6921
NA,Iceland,2020-03-17T15:33:06Z,220,1,0,64.9631,-19.0208
Massachusetts,US,2020-03-17T22:53:02Z,218,0,1,42.2302,-71.5301
Florida,US,2020-03-17T23:33:02Z,216,6,0,27.7663,-81.6868
New South Wales,Australia,2020-03-17T12:33:07Z,210,4,4,-33.8688,151.2093
NA,Chile,2020-03-17T15:33:06Z,201,0,0,-35.6751,-71.543
NA,Egypt,2020-03-17T18:13:10Z,196,4,32,26.8206,30.8025
Louisiana,US,2020-03-17T22:53:03Z,196,4,0,31.1695,-91.8678
NA,Philippines,2020-03-17T10:33:03Z,187,12,5,12.8797,121.774
Ontario,Canada,2020-03-17T16:53:04Z,185,1,5,51.2538,-85.3232
NA,Romania,2020-03-17T10:33:03Z,184,0,16,45.9432,24.9668
NA,Thailand,2020-03-17T10:33:03Z,177,1,41,15.87,100.9925
Yunnan,China,2020-03-16T23:53:02Z,176,2,172,24.974,101.487
NA,Indonesia,2020-03-17T10:33:03Z,172,5,8,-0.7893,113.9213
NA,Saudi Arabia,2020-03-17T17:53:03Z,171,0,6,23.8859,45.0792
Hainan,China,2020-03-16T14:38:45Z,168,6,161,19.1959,109.7453
Hong Kong,China,2020-03-17T10:13:11Z,162,4,88,22.3,114.2
Illinois,US,2020-03-17T22:53:03Z,161,1,2,40.3495,-88.9861
