Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-11T10:53:02Z,67773,3046,49134,30.9756,112.2707
NA,Italy,2020-03-11T21:33:02Z,12462,827,1045,43,12
NA,Iran,2020-03-11T18:52:03Z,9000,354,2959,32,53
NA,"Korea, South",2020-03-11T21:13:18Z,7755,60,288,36,128
France,France,2020-03-11T22:53:03Z,2281,48,12,46.2276,2.2137
NA,Spain,2020-03-11T20:53:02Z,2277,54,183,40,-4
NA,Germany,2020-03-11T19:13:17Z,1908,3,25,51,9
Guangdong,China,2020-03-11T10:13:06Z,1356,8,1282,23.3417,113.4244
Henan,China,2020-03-11T08:13:09Z,1273,22,1249,33.882,113.614
Zhejiang,China,2020-03-11T09:33:12Z,1215,1,1195,29.1832,120.0934
Hunan,China,2020-03-11T02:18:14Z,1018,4,995,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-11T02:18:14Z,935,1,932,27.614,115.7221
Shandong,China,2020-03-11T11:33:07Z,760,6,726,36.3427,118.1498
Diamond Princess,Cruise Ship,2020-03-11T22:13:12Z,696,7,325,35.4437,139.638
NA,Switzerland,2020-03-11T20:53:02Z,652,4,4,46.8182,8.2275
NA,Japan,2020-03-11T21:33:03Z,639,15,118,36,138
Jiangsu,China,2020-03-11T02:18:14Z,631,0,627,32.9711,119.455
NA,Norway,2020-03-11T19:33:02Z,598,0,1,60.472,8.4689
Chongqing,China,2020-03-11T23:13:05Z,576,6,554,30.0572,107.874
Sichuan,China,2020-03-11T14:33:03Z,539,3,488,30.6171,102.7103
NA,Netherlands,2020-03-11T14:13:11Z,503,5,0,52.1326,5.2913
NA,Sweden,2020-03-11T19:33:02Z,500,1,1,63,16
Heilongjiang,China,2020-03-11T11:33:07Z,482,13,436,47.862,127.7615
UK,United Kingdom,2020-03-11T21:33:03Z,456,8,18,55.3781,-3.436
Denmark,Denmark,2020-03-11T22:13:13Z,442,0,1,56.2639,9.5018
Beijing,China,2020-03-11T02:18:14Z,435,8,326,40.1824,116.4142
Washington,US,2020-03-11T22:33:03Z,366,29,1,47.4009,-121.4905
Shanghai,China,2020-03-11T03:13:07Z,344,3,320,31.202,121.4491
Hebei,China,2020-03-11T02:18:14Z,318,6,307,39.549,116.1306
NA,Belgium,2020-03-11T18:52:03Z,314,3,1,50.8333,4
Fujian,China,2020-03-11T02:18:14Z,296,1,295,26.0789,117.9874
NA,Qatar,2020-03-11T18:52:03Z,262,0,0,25.3548,51.1839
Guangxi,China,2020-03-11T11:33:07Z,252,2,238,23.8298,108.7881
NA,Austria,2020-03-11T22:33:03Z,246,0,4,47.5162,14.5501
Shaanxi,China,2020-03-11T09:33:12Z,245,1,232,35.1917,108.8701
New York,US,2020-03-11T22:53:03Z,220,0,0,42.1657,-74.9481
NA,Bahrain,2020-03-11T22:33:03Z,195,0,35,26.0275,50.55
NA,Singapore,2020-03-11T13:53:24Z,178,0,96,1.2833,103.8333
California,US,2020-03-11T23:53:03Z,177,3,2,36.1162,-119.6816
Yunnan,China,2020-03-11T02:18:14Z,174,2,170,24.974,101.487
Hainan,China,2020-03-11T02:18:14Z,168,6,159,19.1959,109.7453
NA,Malaysia,2020-03-11T11:33:08Z,149,0,26,2.5,112.5
Guizhou,China,2020-03-11T02:33:03Z,146,2,133,26.8154,106.8748
Tianjin,China,2020-03-11T02:18:14Z,136,3,131,39.3054,117.323
