Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-07T11:13:04Z,67666,2959,43500,30.9756,112.2707
NA,South Korea,2020-03-07T10:13:22Z,7041,44,135,36,128
NA,Italy,2020-03-07T17:33:03Z,5883,233,589,43,12
NA,Iran,2020-03-07T17:43:05Z,5823,145,1669,32,53
Guangdong,Mainland China,2020-03-07T10:43:02Z,1352,7,1237,23.3417,113.4244
Henan,Mainland China,2020-03-07T11:23:10Z,1272,22,1244,33.882,113.614
Zhejiang,Mainland China,2020-03-07T09:03:05Z,1215,1,1154,29.1832,120.0934
Hunan,Mainland China,2020-03-07T09:03:05Z,1018,4,960,27.6104,111.7088
Anhui,Mainland China,2020-03-06T03:23:06Z,990,6,979,31.8257,117.2264
NA,France,2020-03-07T20:33:02Z,949,11,12,47,2
Jiangxi,Mainland China,2020-03-07T01:13:18Z,935,1,916,27.614,115.7221
NA,Germany,2020-03-07T17:43:05Z,799,0,18,51,9
Shandong,Mainland China,2020-03-07T13:03:05Z,758,6,627,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39Z,696,6,40,35.4437,139.638
Jiangsu,Mainland China,2020-03-07T14:53:02Z,631,0,606,32.9711,119.455
Chongqing,Mainland China,2020-03-07T23:23:02Z,576,6,526,30.0572,107.874
Sichuan,Mainland China,2020-03-07T13:03:05Z,539,3,454,30.6171,102.7103
NA,Spain,2020-03-07T17:43:05Z,500,10,30,40,-4
Heilongjiang,Mainland China,2020-03-07T09:03:05Z,481,13,403,47.862,127.7615
NA,Japan,2020-03-07T17:43:05Z,461,6,76,36,138
Beijing,Mainland China,2020-03-07T01:03:05Z,426,8,303,40.1824,116.4142
Shanghai,Mainland China,2020-03-07T03:53:03Z,342,3,313,31.202,121.4491
Hebei,Mainland China,2020-03-07T13:03:05Z,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-07T13:03:05Z,296,1,295,26.0789,117.9874
NA,Switzerland,2020-03-07T17:43:05Z,268,1,3,46.8182,8.2275
Guangxi,Mainland China,2020-03-07T14:53:02Z,252,2,218,23.8298,108.7881
Shaanxi,Mainland China,2020-03-06T10:23:03Z,245,1,226,35.1917,108.8701
NA,UK,2020-03-07T17:43:05Z,206,2,18,55,-3
NA,Netherlands,2020-03-07T17:43:05Z,188,1,0,52.1326,5.2913
Yunnan,Mainland China,2020-03-06T03:23:06Z,174,2,170,24.974,101.487
NA,Belgium,2020-03-07T17:53:03Z,169,0,1,50.8333,4
Hainan,Mainland China,2020-03-05T06:13:10Z,168,6,158,19.1959,109.7453
NA,Sweden,2020-03-07T17:53:03Z,161,0,0,63,16
NA,Norway,2020-03-07T17:53:03Z,147,0,0,60.472,8.4689
Guizhou,Mainland China,2020-03-07T00:43:01Z,146,2,115,26.8154,106.8748
NA,Singapore,2020-03-07T17:53:03Z,138,0,78,1.2833,103.8333
Tianjin,Mainland China,2020-03-05T03:33:27Z,136,3,128,39.3054,117.323
Shanxi,Mainland China,2020-03-05T14:53:03Z,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-07T14:53:02Z,125,1,107,41.2956,122.6085
Gansu,Mainland China,2020-03-07T15:03:06Z,120,2,87,36.0611,103.8343
Hong Kong,Hong Kong,2020-03-07T10:13:22Z,108,2,51,22.3,114.2
Jilin,Mainland China,2020-03-06T10:23:03Z,93,1,90,43.6661,126.1923
NA,Malaysia,2020-03-07T17:53:03Z,93,0,23,2.5,112.5
NA,Bahrain,2020-03-07T18:13:26Z,85,0,4,26.0275,50.55
NA,Austria,2020-03-07T17:53:03Z,79,0,0,47.5162,14.5501
Xinjiang,Mainland China,2020-03-07T09:03:05Z,76,3,72,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-07T03:43:01Z,75,1,67,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T12:53:03Z,75,0,71,37.2692,106.1655
