Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-14T10:13:09Z,67790,3075,52960,30.9756,112.2707
NA,Italy,2020-03-14T20:13:16Z,21157,1441,1966,41.8719,12.5674
NA,Iran,2020-03-14T11:33:06Z,12729,611,2959,32.4279,53.688
NA,"Korea, South",2020-03-14T01:33:02Z,8086,72,510,35.9078,127.7669
NA,Spain,2020-03-14T22:13:11Z,6391,195,517,40.4637,-3.7492
NA,Germany,2020-03-14T22:13:11Z,4585,9,46,51.1657,10.4515
France,France,2020-03-14T20:13:16Z,4469,91,12,46.2276,2.2137
NA,Switzerland,2020-03-14T11:53:29Z,1359,13,4,46.8182,8.2275
Guangdong,China,2020-03-14T01:13:11Z,1356,8,1299,23.3417,113.4244
Henan,China,2020-03-14T09:53:08Z,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-14T02:14:15Z,1227,1,1211,29.1832,120.0934
United Kingdom,United Kingdom,2020-03-14T14:53:04Z,1140,21,18,55.3781,-3.436
NA,Norway,2020-03-14T22:13:11Z,1090,3,1,60.472,8.4689
Hunan,China,2020-03-14T08:33:03Z,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
NA,Sweden,2020-03-14T22:13:11Z,961,2,1,60.1282,18.6435
NA,Netherlands,2020-03-14T22:13:11Z,959,12,2,52.1326,5.2913
Jiangxi,China,2020-03-12T02:13:04Z,935,1,934,27.614,115.7221
Denmark,Denmark,2020-03-14T22:13:32Z,827,1,1,56.2639,9.5018
NA,Japan,2020-03-14T22:33:03Z,773,22,118,36.2048,138.2529
Shandong,China,2020-03-14T04:33:02Z,760,7,741,36.3427,118.1498
Diamond Princess,Cruise Ship,2020-03-13T14:13:25Z,696,7,325,35.4498,139.6649
NA,Belgium,2020-03-14T11:53:29Z,689,4,1,50.5039,4.4699
NA,Austria,2020-03-14T16:13:55Z,655,1,6,47.5162,14.5501
Jiangsu,China,2020-03-13T11:09:03Z,631,0,630,32.9711,119.455
Chongqing,China,2020-03-14T23:53:02Z,576,6,569,30.0572,107.874
Washington,US,2020-03-14T22:13:19Z,572,37,1,47.4009,-121.4905
Sichuan,China,2020-03-14T04:33:02Z,539,3,511,30.6171,102.7103
New York,US,2020-03-14T22:13:32Z,525,2,0,42.1657,-74.9481
Heilongjiang,China,2020-03-14T00:13:05Z,482,13,447,47.862,127.7615
Beijing,China,2020-03-14T02:13:47Z,437,8,349,40.1824,116.4142
Shanghai,China,2020-03-14T23:53:02Z,353,3,324,31.202,121.4491
California,US,2020-03-14T22:13:32Z,340,5,6,36.1162,-119.6816
NA,Qatar,2020-03-14T22:33:03Z,337,0,4,25.3548,51.1839
Hebei,China,2020-03-13T11:09:03Z,318,6,310,38.0428,114.5149
Fujian,China,2020-03-11T02:18:14Z,296,1,295,26.0789,117.9874
Guangxi,China,2020-03-13T11:09:03Z,252,2,243,23.8298,108.7881
Shaanxi,China,2020-03-12T01:33:02Z,245,2,232,35.1917,108.8701
NA,Malaysia,2020-03-14T16:13:55Z,238,0,35,4.2105,101.9758
NA,Greece,2020-03-14T22:33:03Z,228,3,8,39.0742,21.8243
NA,Finland,2020-03-14T22:33:03Z,225,0,1,61.9241,25.7482
NA,Singapore,2020-03-14T16:14:30Z,212,0,105,1.3521,103.8198
NA,Bahrain,2020-03-14T11:53:29Z,210,0,44,26.0667,50.5577
NA,Israel,2020-03-14T20:13:16Z,193,0,4,31.0461,34.8516
NA,Czechia,2020-03-14T20:13:16Z,189,0,0,49.8175,15.473
NA,Slovenia,2020-03-14T22:33:03Z,181,1,0,46.1512,14.9955
Yunnan,China,2020-03-14T23:33:02Z,174,2,172,24.974,101.487
NA,Portugal,2020-03-14T16:14:47Z,169,0,2,39.3999,-8.2245
Hainan,China,2020-03-12T03:53:02Z,168,6,160,19.1959,109.7453
NA,Iceland,2020-03-14T14:53:04Z,156,0,1,64.9631,-19.0208
NA,Brazil,2020-03-13T22:21:58Z,151,0,0,-14.235,-51.9253
Guizhou,China,2020-03-14T00:53:03Z,146,2,143,26.8154,106.8748
Hong Kong,China,2020-03-14T12:53:06Z,140,4,78,22.3,114.2
Massachusetts,US,2020-03-14T22:13:19Z,138,0,1,42.2302,-71.5301
Tianjin,China,2020-03-12T01:53:03Z,136,3,132,39.3054,117.323
Shanxi,China,2020-03-13T11:09:03Z,133,0,133,37.5777,112.2922
Gansu,China,2020-03-14T03:13:08Z,129,2,89,36.0611,103.8343
NA,Ireland,2020-03-14T20:13:16Z,129,2,0,53.1424,-7.6921
Liaoning,China,2020-03-14T00:13:05Z,125,1,113,41.2956,122.6085
NA,Romania,2020-03-14T22:33:03Z,123,0,9,45.9432,24.9668
NA,Estonia,2020-03-14T20:33:03Z,115,0,0,58.5953,25.0136
New South Wales,Australia,2020-03-14T13:33:04Z,112,2,4,-33.8688,151.2093
NA,Philippines,2020-03-14T20:33:03Z,111,8,2,12.8797,121.774
NA,Iraq,2020-03-14T22:33:03Z,110,10,26,33.2232,43.6793
NA,Egypt,2020-03-14T22:33:03Z,109,2,27,26.8206,30.8025
NA,Kuwait,2020-03-14T16:14:34Z,104,0,5,29.3117,47.4818
NA,Poland,2020-03-14T22:53:02Z,103,3,0,51.9194,19.1451
NA,Saudi Arabia,2020-03-14T20:33:03Z,103,0,1,23.8859,45.0792
NA,India,2020-03-14T20:33:03Z,102,2,4,20.5937,78.9629
Colorado,US,2020-03-14T22:13:32Z,101,1,0,39.0598,-105.3111
NA,Indonesia,2020-03-14T22:53:02Z,96,5,8,-0.7893,113.9213
Jilin,China,2020-03-13T11:09:03Z,93,1,91,43.6661,126.1923
NA,Lebanon,2020-03-14T12:13:12Z,93,3,1,33.8547,35.8623
NA,United Arab Emirates,2020-03-13T22:21:58Z,85,0,17,23.4241,53.8478
NA,Thailand,2020-03-14T12:13:12Z,82,1,35,15.87,100.9925
NA,San Marino,2020-03-14T22:53:02Z,80,5,4,43.9424,12.4578
Ontario,Canada,2020-03-14T13:13:25Z,79,0,4,51.2538,-85.3232
Louisiana,US,2020-03-14T22:13:32Z,77,1,0,31.1695,-91.8678
Xinjiang,China,2020-03-11T02:18:14Z,76,3,73,41.1129,85.2401
Florida,US,2020-03-14T18:53:03Z,76,3,0,27.7663,-81.6868
Inner Mongolia,China,2020-03-11T03:53:03Z,75,1,71,44.0935,113.9448
Ningxia,China,2020-03-14T09:53:08Z,75,0,73,37.2692,106.1655
New Jersey,US,2020-03-14T22:13:32Z,69,1,0,40.2989,-74.521
Georgia,US,2020-03-14T17:53:03Z,66,1,0,33.0406,-83.6431
British Columbia,Canada,2020-03-14T00:13:05Z,64,1,4,53.7267,-127.6476
Illinois,US,2020-03-14T22:33:04Z,64,0,2,40.3495,-88.9861
NA,Chile,2020-03-14T20:33:03Z,61,0,0,-35.6751,-71.543
NA,Russia,2020-03-14T22:53:02Z,59,0,8,61.524,105.3188
Texas,US,2020-03-14T22:33:03Z,57,0,0,31.0545,-97.5635
NA,Taiwan*,2020-03-14T07:13:11Z,53,1,20,23.7,121
NA,Vietnam,2020-03-14T12:13:12Z,53,0,16,14.0583,108.2772
NA,Luxembourg,2020-03-14T20:33:03Z,51,1,0,49.8153,6.1296
Victoria,Australia,2020-03-14T13:33:04Z,49,0,8,-37.8136,144.9631
Pennsylvania,US,2020-03-14T18:53:03Z,47,0,0,40.5908,-77.2098
Queensland,Australia,2020-03-14T13:33:04Z,46,0,8,-28.0167,153.4
NA,Serbia,2020-03-14T22:53:02Z,46,0,0,44.0165,21.0059
Diamond Princess,US,2020-03-10T02:33:04Z,46,0,0,35.4437,139.638
NA,Slovakia,2020-03-14T20:33:03Z,44,0,0,48.669,19.699
NA,Bulgaria,2020-03-14T20:33:03Z,41,2,0,42.7339,25.4858
Virginia,US,2020-03-14T22:33:03Z,41,1,0,37.7693,-78.17
NA,Brunei,2020-03-14T20:33:03Z,40,0,0,4.5353,114.7277
NA,Albania,2020-03-14T12:33:03Z,38,1,0,41.1533,20.1683
NA,Croatia,2020-03-14T20:33:03Z,38,0,1,45.1,15.2
NA,Peru,2020-03-14T12:33:03Z,38,0,0,-9.19,-75.0152
NA,South Africa,2020-03-14T16:14:56Z,38,0,0,-30.5595,22.9375
NA,Algeria,2020-03-14T12:33:03Z,37,3,12,28.0339,1.6596
NA,Panama,2020-03-14T12:33:03Z,36,1,0,8.538,-80.7821
NA,Argentina,2020-03-14T20:33:03Z,34,2,1,-38.4161,-63.6167
Oregon,US,2020-03-14T16:33:03Z,32,0,0,44.572,-122.0709
Tennessee,US,2020-03-14T22:33:04Z,32,0,0,35.7478,-86.6923
NA,Pakistan,2020-03-14T20:33:03Z,31,0,2,30.3753,69.3451
NA,Georgia,2020-03-14T12:33:03Z,30,0,0,42.3154,43.3569
NA,Hungary,2020-03-14T22:53:02Z,30,0,1,47.1625,19.5033
Alberta,Canada,2020-03-14T00:13:05Z,29,0,0,53.9333,-116.5765
NA,Ecuador,2020-03-14T22:53:02Z,28,2,0,-1.8312,-78.1834
NA,Belarus,2020-03-13T22:21:59Z,27,0,3,53.7098,27.9534
Wisconsin,US,2020-03-14T22:33:03Z,27,0,1,44.2685,-89.6165
NA,Costa Rica,2020-03-14T12:33:03Z,26,0,0,9.7489,-83.7534
NA,Cyprus,2020-03-14T22:53:02Z,26,0,0,35.1264,33.4299
NA,Latvia,2020-03-14T12:33:03Z,26,0,1,56.8796,24.6032
NA,Mexico,2020-03-14T20:53:02Z,26,0,4,23.6345,-102.5528
Maryland,US,2020-03-14T22:33:03Z,26,0,0,39.0639,-76.8021
Ohio,US,2020-03-14T18:53:03Z,26,0,0,40.3888,-82.7649
Michigan,US,2020-03-14T16:53:03Z,25,0,0,43.3266,-84.5361
North Carolina,US,2020-03-14T18:13:23Z,24,0,0,35.6301,-79.8064
NA,Colombia,2020-03-14T20:53:02Z,22,0,0,4.5709,-74.2973
Connecticut,US,2020-03-14T22:33:03Z,22,0,0,41.5978,-72.7554
Grand Princess,US,2020-03-10T02:33:04Z,21,0,0,37.6489,-122.6655
Minnesota,US,2020-03-14T18:53:03Z,21,0,0,45.6945,-93.9002
Nevada,US,2020-03-14T22:33:03Z,21,0,0,38.3135,-117.0554
Rhode Island,US,2020-03-14T18:53:03Z,20,0,0,41.6809,-71.5118
South Australia,Australia,2020-03-14T13:33:04Z,19,0,3,-34.9285,138.6007
NA,Oman,2020-03-13T23:33:05Z,19,0,9,21.4735,55.9754
South Carolina,US,2020-03-14T22:33:03Z,19,0,0,33.8569,-80.945
NA,Armenia,2020-03-14T20:53:02Z,18,0,0,40.0691,45.0382
NA,Bosnia and Herzegovina,2020-03-14T12:33:03Z,18,0,0,43.9159,17.6791
Qinghai,China,2020-03-11T02:18:14Z,18,0,18,35.7452,95.9956
