Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-05T14:53:03Z,67466,2902,40592,30.9756,112.2707
NA,South Korea,2020-03-05T09:03:09Z,6088,35,41,36,128
NA,Italy,2020-03-05T17:43:03Z,3858,148,414,43,12
NA,Iran,2020-03-05T13:43:04Z,3513,107,739,32,53
Guangdong,Mainland China,2020-03-05T09:23:03Z,1351,7,1181,23.3417,113.4244
Henan,Mainland China,2020-03-05T01:48:26Z,1272,22,1239,33.882,113.614
Zhejiang,Mainland China,2020-03-05T09:43:03Z,1215,1,1124,29.1832,120.0934
Hunan,Mainland China,2020-03-05T08:43:03Z,1018,4,938,27.6104,111.7088
Anhui,Mainland China,2020-03-05T04:33:02Z,990,6,970,31.8257,117.2264
Jiangxi,Mainland China,2020-03-05T01:16:58Z,935,1,901,27.614,115.7221
Shandong,Mainland China,2020-03-05T14:53:03Z,758,6,578,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06Z,706,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-05T14:53:03Z,631,0,583,32.9711,119.455
Chongqing,Mainland China,2020-03-05T23:23:02Z,576,6,512,30.0572,107.874
Sichuan,Mainland China,2020-03-05T14:53:03Z,539,3,425,30.6171,102.7103
NA,Germany,2020-03-05T17:43:03Z,482,0,16,51,9
Heilongjiang,Mainland China,2020-03-05T00:23:06Z,481,13,379,47.862,127.7615
Beijing,Mainland China,2020-03-04T23:23:01Z,418,8,297,40.1824,116.4142
NA,France,2020-03-05T15:13:22Z,377,6,12,47,2
NA,Japan,2020-03-05T13:43:04Z,360,6,43,36,138
Shanghai,Mainland China,2020-03-05T06:23:06Z,339,3,303,31.202,121.4491
Hebei,Mainland China,2020-03-05T14:53:03Z,318,6,304,38.0428,114.5149
Fujian,Mainland China,2020-03-05T09:33:03Z,296,1,277,26.0789,117.9874
NA,Spain,2020-03-05T17:43:03Z,259,3,2,40,-4
Guangxi,Mainland China,2020-03-05T10:03:08Z,252,2,214,23.8298,108.7881
Shaanxi,Mainland China,2020-03-05T06:03:08Z,245,1,224,35.1917,108.8701
Yunnan,Mainland China,2020-03-03T03:43:02Z,174,2,169,24.974,101.487
Hainan,Mainland China,2020-03-05T06:13:10Z,168,6,158,19.1959,109.7453
Guizhou,Mainland China,2020-03-02T01:13:06Z,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-05T03:33:27Z,136,3,128,39.3054,117.323
Shanxi,Mainland China,2020-03-05T14:53:03Z,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T14:33:03Z,125,1,106,41.2956,122.6085
NA,Singapore,2020-03-05T13:43:04Z,117,0,78,1.2833,103.8333
NA,UK,2020-03-05T18:03:03Z,115,1,8,55,-3
NA,Switzerland,2020-03-05T17:43:03Z,114,1,3,46.8182,8.2275
Hong Kong,Hong Kong,2020-03-05T00:23:07Z,105,2,43,22.3,114.2
Gansu,Mainland China,2020-03-05T15:13:13Z,102,2,87,36.0611,103.8343
NA,Sweden,2020-03-05T18:03:03Z,94,0,0,63,16
Jilin,Mainland China,2020-03-05T14:53:03Z,93,1,88,43.6661,126.1923
NA,Norway,2020-03-05T17:43:03Z,87,0,0,60.472,8.4689
NA,Netherlands,2020-03-05T14:23:03Z,82,0,0,52.1326,5.2913
Xinjiang,Mainland China,2020-03-05T06:03:08Z,76,3,70,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-05T23:53:01Z,75,1,65,44.0935,113.9448
Ningxia,Mainland China,2020-03-04T01:33:07Z,75,0,69,37.2692,106.1655
NA,Kuwait,2020-03-05T13:43:04Z,58,0,0,29.5,47.75
NA,Bahrain,2020-03-05T13:53:03Z,55,0,0,26.0275,50.55
"King County, WA",US,2020-03-05T22:03:17Z,51,10,1,47.548,-121.9836
NA,Belgium,2020-03-05T13:53:03Z,50,0,1,50.8333,4
NA,Malaysia,2020-03-04T13:03:08Z,50,0,22,2.5,112.5
NA,Thailand,2020-03-05T06:23:06Z,47,1,31,15,101
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03Z,45,0,0,35.4437,139.638
Taiwan,Taiwan,2020-03-05T14:53:03Z,44,1,12,23.7,121
NA,Austria,2020-03-05T17:53:02Z,41,0,0,47.5162,14.5501
NA,Iraq,2020-03-04T20:43:02Z,35,2,0,33,44
NA,Iceland,2020-03-05T13:53:03Z,34,0,0,64.9631,-19.0208
NA,Greece,2020-03-05T14:23:03Z,31,0,0,39.0742,21.8243
NA,India,2020-03-05T13:53:03Z,30,0,3,21,78
NA,United Arab Emirates,2020-03-05T23:53:02Z,29,0,5,24,54
New South Wales,Australia,2020-03-04T20:43:03Z,22,1,4,-33.8688,151.2093
"Toronto, ON",Canada,2020-03-05T17:53:03Z,21,0,2,43.6532,-79.3832
NA,San Marino,2020-03-05T13:53:03Z,21,1,0,43.9424,12.4578
"Santa Clara, CA",US,2020-03-05T22:53:03Z,20,0,1,37.3541,-121.9552
Qinghai,Mainland China,2020-02-21T04:43:02Z,18,0,18,35.7452,95.9956
"Snohomish County, WA",US,2020-03-05T20:23:07Z,18,1,0,48.033,-121.8339
"Westchester County, NY",US,2020-03-05T21:33:03Z,18,0,0,41.122,-73.7949
NA,Israel,2020-03-05T17:53:02Z,16,0,1,31,35
NA,Lebanon,2020-03-05T17:53:02Z,16,0,1,33.8547,35.8623
NA,Oman,2020-03-05T17:53:02Z,16,0,2,21,57
NA,Vietnam,2020-02-25T08:53:02Z,16,0,16,16,108
Queensland,Australia,2020-03-05T17:33:06Z,13,0,8,-28.0167,153.4
British Columbia,Canada,2020-03-05T04:43:03Z,13,0,3,49.2827,-123.1207
NA,Ecuador,2020-03-05T17:53:02Z,13,0,0,-1.8312,-78.1834
NA,Algeria,2020-03-04T19:33:03Z,12,0,0,28.0339,1.6596
NA,Czech Republic,2020-03-05T17:53:02Z,12,0,0,49.8175,15.473
NA,Finland,2020-03-05T13:53:03Z,12,0,1,64,26
"Los Angeles, CA",US,2020-03-05T21:03:14Z,11,0,0,34.0522,-118.2437
Victoria,Australia,2020-03-05T18:33:03Z,10,0,7,-37.8136,144.9631
NA,Croatia,2020-03-04T16:53:02Z,10,0,0,45.1667,15.5
NA,Denmark,2020-03-04T00:03:15Z,10,0,0,56.2639,9.5018
Macau,Macau,2020-03-03T12:33:02Z,10,0,9,22.1667,113.55
NA,Portugal,2020-03-05T13:53:03Z,8,0,0,39.3999,-8.2245
NA,Qatar,2020-03-04T00:03:15Z,8,0,0,25.3548,51.1839
NA,Azerbaijan,2020-03-05T13:53:03Z,6,0,0,40.1431,47.5769
NA,Belarus,2020-03-04T12:43:03Z,6,0,0,53.7098,27.9534
NA,Ireland,2020-03-04T21:13:07Z,6,0,0,53.1424,-7.6921
NA,Romania,2020-03-05T06:23:06Z,6,0,1,46,25
South Australia,Australia,2020-03-04T21:03:07Z,5,0,2,-34.9285,138.6007
NA,Mexico,2020-03-03T10:03:04Z,5,0,1,23,-102
NA,Pakistan,2020-03-03T04:33:03Z,5,0,0,30.3753,69.3451
NA,Saudi Arabia,2020-03-05T17:53:03Z,5,0,0,24,45
"Cook County, IL",US,2020-03-05T18:33:03Z,5,0,2,41.7377,-87.6976
NA,Brazil,2020-03-04T20:33:02Z,4,0,0,-14.235,-51.9253
NA,Chile,2020-03-05T18:13:04Z,4,0,0,-35.6751,-71.543
NA,Georgia,2020-03-05T13:53:03Z,4,0,0,42.3154,43.3569
NA,Palestine,2020-03-05T13:53:03Z,4,0,0,31.9522,35.2332
NA,Russia,2020-03-05T13:53:03Z,4,0,2,60,90
NA,Senegal,2020-03-04T20:43:02Z,4,0,0,14.4974,-14.4524
"New York City, NY",US,2020-03-05T21:03:13Z,4,0,0,40.7128,-74.006
Western Australia,Australia,2020-03-05T17:13:35Z,3,1,0,-31.9505,115.8605
NA,Egypt,2020-03-05T13:53:03Z,3,0,1,26,30
NA,Estonia,2020-03-05T13:53:03Z,3,0,0,58.5953,25.0136
NA,New Zealand,2020-03-04T20:13:11Z,3,0,0,-40.9006,174.886
NA,Philippines,2020-02-12T07:43:02Z,3,1,1,13,122
