Date,Positive,Tests,Asymptomatic
25-Jan,0,0,0
26-Jan,0,0,0
27-Jan,0,0,0
28-Jan,0,0,0
29-Jan,0,0,0
30-Jan,0,0,0
31-Jan,0,0,0
1-Feb,0,0,0
2-Feb,0,0,0
3-Feb,0,0,0
4-Feb,0,0,0
5-Feb,10,31,
6-Feb,20,102,
7-Feb,61,273,
8-Feb,64,279,
9-Feb,70,336,
10-Feb,135,439,
11-Feb,135,439,
12-Feb,174,492,
13-Feb,218,713,35
14-Feb,218,713,35
15-Feb,285,930,73
16-Feb,355,1219,111
17-Feb,454,1723,189
18-Feb,542,2404,254
19-Feb,621,3011,322
