Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-15T18:20:18Z,67794,3085,54288,30.9756,112.2707
NA,Italy,2020-03-14T20:13:16Z,24747,1809,2335,41.8719,12.5674
NA,Iran,2020-03-15T18:20:18Z,13938,724,4590,32.4279,53.688
NA,"Korea, South",2020-03-15T18:20:18Z,8162,75,510,35.9078,127.7669
NA,Spain,2020-03-15T18:20:18Z,7798,289,517,40.4637,-3.7492
NA,Germany,2020-03-15T18:20:18Z,5795,11,46,51.1657,10.4515
France,France,2020-03-15T18:20:18Z,4499,91,12,46.2276,2.2137
NA,Switzerland,2020-03-15T18:20:18Z,2200,14,4,46.8182,8.2275
Guangdong,China,2020-03-15T18:20:18Z,1360,8,1304,23.3417,113.4244
Henan,China,2020-03-14T09:53:08Z,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-15T01:33:02Z,1231,1,1211,29.1832,120.0934
NA,Norway,2020-03-15T18:20:18Z,1221,3,1,60.472,8.4689
United Kingdom,United Kingdom,2020-03-14T14:53:04Z,1140,21,18,55.3781,-3.436
NA,Netherlands,2020-03-15T18:20:18Z,1135,20,2,52.1326,5.2913
NA,Sweden,2020-03-15T18:20:18Z,1022,3,1,60.1282,18.6435
Hunan,China,2020-03-14T08:33:03Z,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14Z,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-12T02:13:04Z,935,1,934,27.614,115.7221
NA,Belgium,2020-03-15T18:20:18Z,886,4,1,50.5039,4.4699
Denmark,Denmark,2020-03-15T18:20:19Z,864,2,1,56.2639,9.5018
NA,Austria,2020-03-15T18:20:18Z,860,1,6,47.5162,14.5501
NA,Japan,2020-03-14T22:33:03Z,839,22,118,36.2048,138.2529
Shandong,China,2020-03-14T04:33:02Z,760,7,741,36.3427,118.1498
New York,US,2020-03-15T18:20:19Z,732,3,0,42.1657,-74.9481
Diamond Princess,Cruise Ship,2020-03-13T14:13:25Z,696,7,325,35.4498,139.6649
Washington,US,2020-03-15T02:13:21Z,643,40,1,47.4009,-121.4905
Jiangsu,China,2020-03-15T01:53:02Z,631,0,631,32.9711,119.455
Chongqing,China,2020-03-15T03:53:04Z,576,6,570,30.0572,107.874
Sichuan,China,2020-03-15T18:20:18Z,539,3,516,30.6171,102.7103
Heilongjiang,China,2020-03-15T00:33:02Z,482,13,453,47.862,127.7615
Beijing,China,2020-03-15T01:13:10Z,442,8,353,40.1824,116.4142
NA,Malaysia,2020-03-15T18:20:18Z,428,0,42,4.2105,101.9758
California,US,2020-03-15T18:33:03Z,426,6,6,36.1162,-119.6816
Shanghai,China,2020-03-14T23:53:02Z,353,3,324,31.202,121.4491
NA,Qatar,2020-03-14T22:33:03Z,401,0,4,25.3548,51.1839
Hebei,China,2020-03-13T11:09:03Z,318,6,310,38.0428,114.5149
Fujian,China,2020-03-11T02:18:14Z,296,1,295,26.0789,117.9874
Guangxi,China,2020-03-13T11:09:03Z,252,2,243,23.8298,108.7881
Shaanxi,China,2020-03-12T01:33:02Z,245,2,232,35.1917,108.8701
NA,Portugal,2020-03-15T18:20:18Z,245,0,2,39.3999,-8.2245
NA,Finland,2020-03-15T18:20:18Z,244,0,10,61.9241,25.7482
NA,Czechia,2020-03-15T18:20:18Z,253,0,0,49.8175,15.473
NA,Greece,2020-03-15T18:20:18Z,331,4,8,39.0742,21.8243
NA,Singapore,2020-03-15T18:20:18Z,226,0,105,1.3521,103.8198
NA,Slovenia,2020-03-15T18:20:18Z,219,1,0,46.1512,14.9955
NA,Bahrain,2020-03-14T11:53:29Z,214,0,60,26.0667,50.5577
NA,Israel,2020-03-15T18:20:18Z,251,0,4,31.0461,34.8516
Yunnan,China,2020-03-14T23:33:02Z,174,2,172,24.974,101.487
Hainan,China,2020-03-12T03:53:02Z,168,6,160,19.1959,109.7453
NA,Brazil,2020-03-15T18:20:18Z,162,0,0,-14.235,-51.9253
NA,Iceland,2020-03-15T18:20:18Z,171,5,8,64.9631,-19.0208
Guizhou,China,2020-03-14T00:53:03Z,146,2,143,26.8154,106.8748
Hong Kong,China,2020-03-15T18:20:18Z,145,4,81,22.3,114.2
NA,Philippines,2020-03-15T18:20:18Z,140,11,2,12.8797,121.774
Massachusetts,US,2020-03-14T22:13:19Z,164,0,1,42.2302,-71.5301
Tianjin,China,2020-03-15T18:20:18Z,136,3,133,39.3054,117.323
NA,Estonia,2020-03-15T18:20:18Z,171,0,1,58.5953,25.0136
New South Wales,Australia,2020-03-15T18:20:19Z,134,2,4,-33.8688,151.2093
Gansu,China,2020-03-15T18:20:18Z,133,2,91,36.0611,103.8343
Shanxi,China,2020-03-13T11:09:03Z,133,0,133,37.5777,112.2922
NA,Romania,2020-03-15T18:20:18Z,131,0,9,45.9432,24.9668
NA,Ireland,2020-03-14T20:13:16Z,129,2,0,53.1424,-7.6921
Liaoning,China,2020-03-15T04:13:27Z,125,1,114,41.2956,122.6085
NA,Poland,2020-03-15T18:20:18Z,119,3,0,51.9194,19.1451
NA,Indonesia,2020-03-15T18:20:18Z,117,5,8,-0.7893,113.9213
Florida,US,2020-03-15T18:20:19Z,115,4,0,27.7663,-81.6868
NA,Thailand,2020-03-15T18:20:18Z,114,1,35,15.87,100.9925
NA,India,2020-03-15T18:20:18Z,113,2,13,20.5937,78.9629
NA,Kuwait,2020-03-15T18:20:18Z,112,0,5,29.3117,47.4818
NA,Egypt,2020-03-15T18:20:18Z,110,2,21,26.8206,30.8025
NA,Iraq,2020-03-14T22:33:03Z,116,10,26,33.2232,43.6793
NA,Lebanon,2020-03-15T18:20:18Z,110,3,1,33.8547,35.8623
Ontario,Canada,2020-03-15T01:53:03Z,104,0,4,51.2538,-85.3232
NA,Saudi Arabia,2020-03-14T20:33:03Z,103,0,1,23.8859,45.0792
Colorado,US,2020-03-14T22:13:32Z,131,1,0,39.0598,-105.3111
Georgia,US,2020-03-15T18:20:19Z,99,1,0,33.0406,-83.6431
Jilin,China,2020-03-13T11:09:03Z,93,1,91,43.6661,126.1923
NA,San Marino,2020-03-15T18:20:18Z,101,5,4,43.9424,12.4578
Louisiana,US,2020-03-15T18:20:19Z,91,2,0,31.1695,-91.8678
NA,United Arab Emirates,2020-03-15T18:20:18Z,98,0,23,23.4241,53.8478
Xinjiang,China,2020-03-11T02:18:14Z,76,3,73,41.1129,85.2401
Inner Mongolia,China,2020-03-11T03:53:03Z,75,1,71,44.0935,113.9448
Ningxia,China,2020-03-14T09:53:08Z,75,0,73,37.2692,106.1655
New Jersey,US,2020-03-15T18:20:19Z,98,2,0,40.2989,-74.521
British Columbia,Canada,2020-03-15T01:53:02Z,73,1,4,53.7267,-127.6476
Illinois,US,2020-03-15T18:20:19Z,93,0,2,40.3495,-88.9861
NA,Russia,2020-03-15T18:20:18Z,63,0,8,61.524,105.3188
Texas,US,2020-03-15T18:20:19Z,72,0,0,31.0545,-97.5635
Queensland,Australia,2020-03-15T18:20:19Z,61,0,8,-28.0167,153.4
NA,Chile,2020-03-14T20:33:03Z,74,0,0,-35.6751,-71.543
NA,Luxembourg,2020-03-15T18:20:18Z,59,1,0,49.8153,6.1296
NA,Taiwan*,2020-03-15T06:53:03Z,59,1,20,23.7,121
Victoria,Australia,2020-03-15T18:20:19Z,57,0,8,-37.8136,144.9631
NA,Vietnam,2020-03-15T18:20:18Z,56,0,16,14.0583,108.2772
NA,Slovakia,2020-03-15T18:20:18Z,54,0,0,48.669,19.699
NA,Pakistan,2020-03-15T18:20:18Z,53,0,2,30.3753,69.3451
NA,South Africa,2020-03-15T18:20:18Z,51,0,0,-30.5595,22.9375
NA,Brunei,2020-03-15T18:20:18Z,50,0,0,4.5353,114.7277
NA,Croatia,2020-03-15T18:20:18Z,49,0,1,45.1,15.2
NA,Algeria,2020-03-15T18:20:18Z,48,4,12,28.0339,1.6596
Pennsylvania,US,2020-03-14T18:53:03Z,66,0,0,40.5908,-77.2098
NA,Serbia,2020-03-14T22:53:02Z,48,0,0,44.0165,21.0059
Diamond Princess,US,2020-03-10T02:33:04Z,46,0,0,35.4437,139.638
NA,Argentina,2020-03-15T18:20:18Z,45,2,1,-38.4161,-63.6167
Virginia,US,2020-03-15T18:20:19Z,45,1,0,37.7693,-78.17
NA,Bulgaria,2020-03-15T18:20:18Z,51,2,0,42.7339,25.4858
NA,Panama,2020-03-15T18:20:18Z,43,1,0,8.538,-80.7821
NA,Peru,2020-03-15T18:20:18Z,43,0,0,-9.19,-75.0152
NA,Albania,2020-03-15T18:20:18Z,42,1,0,41.1533,20.1683
NA,Mexico,2020-03-15T18:20:18Z,41,0,4,23.6345,-102.5528
Alberta,Canada,2020-03-15T01:53:03Z,39,0,0,53.9333,-116.5765
Oregon,US,2020-03-15T18:20:19Z,36,1,0,44.572,-122.0709
Minnesota,US,2020-03-15T18:20:19Z,35,0,0,45.6945,-93.9002
NA,Colombia,2020-03-15T18:20:18Z,34,0,0,4.5709,-74.2973
Michigan,US,2020-03-15T18:20:19Z,33,0,0,43.3266,-84.5361
NA,Hungary,2020-03-15T18:20:18Z,32,1,1,47.1625,19.5033
North Carolina,US,2020-03-15T18:20:19Z,33,0,0,35.6301,-79.8064
Tennessee,US,2020-03-14T22:33:04Z,39,0,0,35.7478,-86.6923
Maryland,US,2020-03-15T18:20:19Z,32,0,0,39.0639,-76.8021
NA,Georgia,2020-03-14T12:33:03Z,33,0,0,42.3154,43.3569
NA,Latvia,2020-03-15T18:20:18Z,30,0,1,56.8796,24.6032
Ohio,US,2020-03-15T18:20:19Z,37,0,0,40.3888,-82.7649
NA,Ecuador,2020-03-14T22:53:02Z,28,2,0,-1.8312,-78.1834
NA,Morocco,2020-03-15T18:20:18Z,28,1,1,31.7917,-7.0926
Wisconsin,US,2020-03-15T18:20:19Z,32,0,1,44.2685,-89.6165
NA,Belarus,2020-03-13T22:21:59Z,27,0,3,53.7098,27.9534
NA,Costa Rica,2020-03-15T18:20:18Z,27,0,0,9.7489,-83.7534
NA,Cyprus,2020-03-14T22:53:02Z,26,0,0,35.1264,33.4299
Quebec,Canada,2020-03-15T01:53:02Z,24,0,0,52.9399,-73.5491
Connecticut,US,2020-03-15T18:20:19Z,24,0,0,41.5978,-72.7554
Utah,US,2020-03-15T18:20:19Z,28,0,0,40.15,-111.8624
NA,Armenia,2020-03-15T18:20:18Z,26,0,0,40.0691,45.0382
NA,Bosnia and Herzegovina,2020-03-15T18:20:18Z,24,0,0,43.9159,17.6791
NA,Malta,2020-03-15T18:20:18Z,21,0,1,35.9375,14.3754
Grand Princess,US,2020-03-10T02:33:04Z,21,0,0,37.6489,-122.6655
Nevada,US,2020-03-14T22:33:03Z,24,0,0,38.3135,-117.0554
South Australia,Australia,2020-03-15T18:20:19Z,20,0,3,-34.9285,138.6007
NA,Oman,2020-03-15T18:20:18Z,22,0,9,21.4735,55.9754
Indiana,US,2020-03-15T18:20:19Z,20,0,0,39.8494,-86.2583
Rhode Island,US,2020-03-14T18:53:03Z,20,0,0,41.6809,-71.5118
South Carolina,US,2020-03-14T22:33:03Z,28,0,0,33.8569,-80.945
Qinghai,China,2020-03-11T02:18:14Z,18,0,18,35.7452,95.9956
NA,Tunisia,2020-03-14T20:53:02Z,18,0,0,33.8869,9.5375
Iowa,US,2020-03-15T18:20:19Z,18,0,0,42.0115,-93.2105
Kentucky,US,2020-03-15T02:53:02Z,20,0,0,37.6681,-84.6701
Western Australia,Australia,2020-03-14T13:33:04Z,17,1,0,-31.9505,115.8605
Nebraska,US,2020-03-15T18:20:19Z,17,0,0,41.1254,-98.2681
NA,Afghanistan,2020-03-15T18:20:18Z,16,0,0,33.9391,67.71
Arkansas,US,2020-03-15T18:20:19Z,16,0,0,34.9697,-92.3731
District of Columbia,US,2020-03-15T02:53:03Z,16,0,0,38.8974,-77.0268
NA,Azerbaijan,2020-03-13T12:13:36Z,23,1,6,40.1431,47.5769
NA,North Macedonia,2020-03-13T23:33:05Z,14,0,1,41.6086,21.7453
NA,Maldives,2020-03-15T18:20:18Z,13,0,0,3.2028,73.2207
New Mexico,US,2020-03-15T02:53:03Z,13,0,0,34.8405,-106.2485
NA,Lithuania,2020-03-15T18:20:18Z,12,0,1,55.1694,23.8813
NA,Moldova,2020-03-14T20:53:02Z,23,0,0,47.4116,28.3699
Alabama,US,2020-03-15T18:20:19Z,12,0,0,32.3182,-86.9023
Arizona,US,2020-03-14T18:13:23Z,13,0,1,33.7298,-111.4312
Faroe Islands,Denmark,2020-03-15T18:20:19Z,11,0,0,61.8926,-6.9118
NA,Dominican Republic,2020-03-14T20:53:02Z,11,0,0,18.7357,-70.1627
NA,Sri Lanka,2020-03-15T18:20:18Z,18,0,1,7.8731,80.7718
NA,Bolivia,2020-03-14T12:53:07Z,10,0,0,-16.2902,-63.5887
Macau,China,2020-03-11T18:52:03Z,10,0,10,22.1667,113.55
NA,Senegal,2020-03-13T23:33:05Z,24,0,1,14.4974,-14.4524
NA,Martinique,2020-03-14T14:53:04Z,9,0,0,14.6415,-61.0242
South Dakota,US,2020-03-14T16:53:03Z,9,1,0,44.2998,-99.4388
NA,Jamaica,2020-03-13T22:22:02Z,10,0,0,18.1096,-77.2975
NA,Kazakhstan,2020-03-15T18:20:18Z,9,0,0,48.0196,66.9237
NA,New Zealand,2020-03-15T18:20:18Z,8,0,0,-40.9006,174.886
Kansas,US,2020-03-14T22:33:03Z,8,1,0,38.5266,-96.7265
NA,Venezuela,2020-03-15T18:20:18Z,10,0,0,6.4238,-66.5897
NA,Cambodia,2020-03-14T12:53:07Z,7,0,1,12.5657,104.991
NA,Jordan,2020-03-15T18:20:18Z,8,0,1,30.5852,36.2384
NA,Reunion,2020-03-15T18:20:19Z,7,0,0,-21.1151,55.5364
