Country,confirmed,cases.travel,cases.outside,cases.unknown
Australia,15,12,3,0
Belgium,1,1,0,0
Cambodia,1,1,0,0
Canada,7,6,0,1
Finland,1,1,0,0
France,11,5,6,0
Germany,16,2,14,0
India,3,3,0,0
Italy,3,3,0,0
Japan,41,25,16,0
Japan boat,285,0,0,285
Macau,10,7,3,0
Malaysia,21,16,4,1
Nepal,1,1,0,0
Phillipines,3,3,0,0
Republic of Korea,28,13,12,3
Russian Federation,2,2,0,0
Singapore,67,22,44,1
Spain,2,0,2,0
Sri lanka,1,1,0,0
Sweden,1,1,0,0
Thailand,34,23,7,4
UAE,8,6,1,1
UK,9,2,7,0
USA,15,13,2,0
Vietnam,16,8,8,1
Egypt,1,0,0,0
